ACCTID,ACCTTYPE,ACCTNAME,FIRSTNAME,SURNAME,DOB,ACCTCREATED,ACCTRISK,ADDRESS,ADDRESS_LAT,ADDRESS_LON,CATEGORY
800039,BUSINESS,Young Supermarket,Kevin,Young,1982-02-23T00:00:00,2018-09-20T00:00:00,MEDIUM,BRISBANE,-27.5121795,153.0731051,Supermarket
800040,BUSINESS,Williams Grocery,Lindsay,Williams,1959-02-20T00:00:00,2018-02-24T00:00:00,MEDIUM,BRISBANE,-27.5043026,153.0734696,Grocery
800041,CREDIT,Myers Supermarket,Lisa,Myers,1982-09-04T00:00:00,2018-01-11T00:00:00,HIGH,BRISBANE,-27.4849699,153.0975884,Supermarket
800042,BUSINESS,Martinez Supermarket,Brittany,Martinez,1976-10-11T00:00:00,2018-12-04T00:00:00,MEDIUM,BRISBANE,-27.4023566,153.056983,Supermarket
800043,CREDIT,Taylor Grocery,David,Taylor,1978-01-23T00:00:00,2019-07-15T00:00:00,MEDIUM,BRISBANE,-27.4736276,152.9550888,Grocery
800044,CREDIT,Orr Grocery,Adrian,Orr,1968-09-04T00:00:00,2016-12-11T00:00:00,LOW,BRISBANE,-27.4620553,153.00791078988814,Grocery
800045,CREDIT,Anderson Grocery,Raymond,Anderson,1980-03-21T00:00:00,2018-02-12T00:00:00,LOW,BRISBANE,-27.4026097,153.0037064,Grocery
800046,CREDIT,Berg Grocery,Jennifer,Berg,1986-07-06T00:00:00,2018-05-30T00:00:00,LOW,BRISBANE,-27.4494988,153.0141066999178,Grocery
800047,CREDIT,Hatfield Supermarket,Jocelyn,Hatfield,1986-06-06T00:00:00,2019-01-06T00:00:00,MEDIUM,BRISBANE,-27.535465,153.0680663,Supermarket
800048,BUSINESS,Patterson Supermarket,Samantha,Patterson,1968-09-08T00:00:00,2018-12-28T00:00:00,LOW,BRISBANE,-27.4538741,153.0399684,Supermarket
800049,CREDIT,Blake Supermarket,Chad,Blake,1989-02-04T00:00:00,2016-04-26T00:00:00,HIGH,BRISBANE,-27.4553003,153.068374,Supermarket
800050,BUSINESS,Hamilton Grocery,Laura,Hamilton,1968-05-25T00:00:00,2016-01-13T00:00:00,LOW,BRISBANE,-27.515633762322786,153.05719132036714,Grocery
